aX,aY,aZ,gX,gY,gZ
-0.186,-1.083,2.165,50.903,-9.033,209.167
0.040,-1.073,1.773,40.344,41.565,232.483
0.219,-1.051,1.493,7.080,69.519,248.657
0.299,-1.017,1.350,-43.945,86.670,263.672
0.299,-0.952,1.345,-90.210,101.196,278.931
0.273,-0.789,1.452,-113.281,117.310,290.771
0.281,-0.529,1.593,-134.888,139.465,297.241
0.273,-0.265,1.720,-154.724,168.030,290.222
0.221,-0.011,1.813,-158.752,198.975,269.775
0.175,0.226,1.887,-146.545,227.905,234.680
0.135,0.387,1.911,-117.798,254.822,187.134
0.122,0.477,1.822,-75.928,274.841,135.803
0.159,0.512,1.624,-29.602,286.743,86.243
0.200,0.509,1.373,15.686,286.499,39.734
0.207,0.452,1.138,57.068,276.367,-3.479
0.189,0.306,0.928,88.257,259.033,-38.696
0.155,0.129,0.713,104.126,233.704,-62.500
0.103,-0.030,0.511,107.239,202.820,-75.745
0.048,-0.158,0.359,101.501,168.701,-81.787
-0.010,-0.231,0.255,91.064,130.249,-85.327
-0.059,-0.249,0.203,83.008,86.731,-90.454
-0.096,-0.266,0.210,79.895,39.429,-97.412
-0.137,-0.341,0.275,76.233,-4.028,-101.746
-0.209,-0.455,0.382,67.932,-35.278,-97.717
-0.303,-0.548,0.509,54.260,-52.002,-84.473
-0.369,-0.584,0.635,40.283,-55.786,-66.467
-0.401,-0.577,0.737,30.640,-52.063,-50.598
-0.423,-0.556,0.821,26.855,-46.814,-38.635
-0.449,-0.535,0.890,28.442,-40.161,-29.724
-0.461,-0.501,0.939,31.128,-29.968,-23.071
-0.454,-0.448,0.962,34.668,-18.494,-20.081
-0.442,-0.408,0.961,39.734,-6.836,-22.278
-0.429,-0.404,0.936,42.236,4.517,-26.550
-0.417,-0.427,0.886,39.978,13.611,-30.029
-0.403,-0.460,0.829,33.752,18.738,-31.250
-0.387,-0.483,0.785,26.550,19.287,-29.846
-0.381,-0.486,0.757,22.217,16.418,-26.428
-0.372,-0.467,0.747,21.790,11.658,-21.851
-0.362,-0.438,0.747,23.560,5.249,-17.700
-0.360,-0.414,0.746,24.292,-1.831,-13.611
-0.358,-0.390,0.753,27.405,-9.583,-10.193
-0.357,-0.365,0.774,30.762,-17.273,-9.033
-0.365,-0.361,0.807,30.151,-21.790,-9.277
-0.382,-0.369,0.849,27.100,-22.339,-9.766
-0.397,-0.378,0.889,21.545,-19.165,-9.705
-0.408,-0.381,0.912,14.954,-13.977,-9.521
-0.406,-0.368,0.922,9.827,-8.911,-9.644
-0.392,-0.346,0.925,8.606,-4.944,-11.108
-0.382,-0.335,0.921,10.803,-3.540,-13.916
-0.380,-0.348,0.913,12.634,-3.784,-16.357
-0.380,-0.373,0.904,11.108,-3.906,-16.968
-0.379,-0.390,0.897,8.301,-3.845,-16.602
-0.380,-0.398,0.896,4.883,-3.845,-15.686
-0.388,-0.395,0.899,1.343,-3.479,-13.977
-0.391,-0.382,0.907,-1.404,-2.380,-11.963
-0.386,-0.374,0.913,-2.319,-1.282,-10.559
-0.378,-0.372,0.914,-2.075,-0.610,-9.216
-0.372,-0.366,0.910,-1.038,-0.977,-8.484
-0.376,-0.364,0.912,1.099,-1.892,-8.179
-0.387,-0.372,0.922,2.563,-1.526,-7.080
-0.391,-0.382,0.922,1.526,0.427,-4.944
-0.382,-0.385,0.912,0.305,2.136,-2.930
-0.370,-0.387,0.898,-0.671,2.563,-1.465
-0.365,-0.392,0.884,-2.014,2.319,0.122
-0.359,-0.388,0.875,-3.296,1.587,2.075
-0.350,-0.367,0.877,-2.319,-0.427,3.113
-0.350,-0.346,0.885,0.732,-3.174,2.686
-0.355,-0.338,0.890,3.052,-4.456,2.380
-0.357,-0.334,0.892,4.822,-4.089,2.258
-0.357,-0.331,0.892,5.920,-3.174,1.709
-0.359,-0.330,0.889,5.676,-2.014,1.160
-0.359,-0.329,0.884,4.822,-1.282,0.916
-0.356,-0.326,0.877,4.211,-0.977,0.854
-0.354,-0.327,0.868,3.113,-0.854,1.038
-0.348,-0.330,0.859,2.319,-1.160,1.587
-0.341,-0.322,0.857,3.601,-2.625,2.136
-0.340,-0.309,0.866,6.775,-5.188,1.770
-0.346,-0.307,0.876,9.399,-7.385,0.916
-0.353,-0.315,0.886,10.376,-8.240,0.427
-0.357,-0.322,0.895,9.521,-7.629,0.488
-0.355,-0.318,0.898,7.202,-5.920,0.244

-0.350,0.614,1.715,-32.410,181.396,49.500
-0.294,0.602,1.598,-17.761,246.155,19.897
-0.206,0.532,1.495,-0.427,305.481,-4.456
-0.111,0.482,1.422,22.217,354.553,-22.400
0.001,0.484,1.362,51.331,394.958,-37.048
0.125,0.546,1.290,88.928,425.842,-52.917
0.232,0.587,1.185,132.019,445.557,-74.646
0.336,0.537,1.056,181.519,451.416,-103.821
0.421,0.435,0.884,228.210,438.660,-133.179
0.460,0.329,0.648,266.052,405.823,-166.504
0.480,0.221,0.399,290.039,357.788,-206.055
0.476,0.084,0.152,287.109,303.284,-250.793
0.436,-0.069,-0.124,257.690,242.798,-299.500
0.382,-0.246,-0.442,200.195,173.828,-349.487
0.332,-0.447,-0.740,124.695,97.473,-394.531
0.340,-0.627,-0.932,45.166,16.541,-429.932
0.436,-0.840,-0.995,-9.766,-71.777,-456.238
0.534,-1.131,-0.989,-27.405,-171.021,-459.412
0.641,-1.506,-0.948,-24.048,-277.161,-429.993
0.782,-1.911,-0.848,-5.676,-397.827,-372.375
0.937,-2.200,-0.659,20.935,-530.518,-282.288
1.224,-2.270,-0.228,63.110,-652.588,-168.640
1.519,-2.183,0.455,114.441,-749.756,-54.688
1.608,-1.972,1.172,153.442,-802.917,46.204
1.510,-1.826,1.820,163.330,-799.377,121.521
1.085,-1.768,2.437,160.156,-742.859,183.289
0.553,-1.518,2.939,133.118,-626.953,237.305
0.070,-1.299,3.189,97.229,-466.248,264.038
-0.372,-1.224,3.115,89.539,-295.288,286.255
-0.459,-1.168,2.773,90.759,-147.583,316.528
-0.234,-1.101,2.352,80.933,-34.119,340.210
0.046,-0.919,1.977,59.387,45.654,342.957
0.224,-0.644,1.853,25.330,93.933,310.608
0.259,-0.381,1.952,-25.940,135.498,258.423
0.141,-0.162,2.036,-62.805,189.758,210.876
0.001,0.053,2.064,-66.833,251.038,179.565
0.034,0.266,2.066,-51.880,307.678,149.658
