aX,aY,aZ,gX,gY,gZ
-0.279,-0.176,0.952,0.732,-7.263,0.488
-0.286,-0.161,0.956,-0.122,-6.042,0.183
-0.287,-0.156,0.954,-0.793,-4.944,-0.549
-0.284,-0.158,0.951,-0.671,-4.272,-1.160
-0.280,-0.165,0.951,0.244,-4.272,-1.038
-0.277,-0.167,0.955,0.488,-4.333,-0.427
-0.277,-0.165,0.958,-0.916,-4.333,0.122
-0.276,-0.157,0.958,-2.014,-4.578,0.366
-0.280,-0.149,0.964,-0.977,-4.395,-0.671
-0.285,-0.146,0.972,-0.183,-3.235,-1.709
-0.282,-0.149,0.973,-0.244,-2.014,-1.953
-0.278,-0.151,0.969,-0.549,-1.160,-1.648
-0.277,-0.146,0.963,-0.610,-0.916,-1.831
-0.275,-0.143,0.960,0.000,-1.343,-2.075
-0.278,-0.145,0.959,1.038,-1.953,-1.831
-0.284,-0.152,0.961,1.587,-2.563,-1.343
-0.283,-0.157,0.967,1.465,-2.930,-0.549
-0.277,-0.156,0.973,0.671,-2.991,0.000
-0.276,-0.153,0.976,-0.183,-2.991,-0.366
-0.278,-0.154,0.977,-0.793,-2.747,-0.671
-0.280,-0.153,0.977,-1.221,-2.258,-0.977
-0.279,-0.153,0.974,-1.465,-1.831,-1.282
-0.275,-0.150,0.972,-1.221,-1.587,-1.404
-0.273,-0.143,0.971,-0.305,-1.282,-2.014
-0.276,-0.143,0.972,0.366,-0.549,-3.479
-0.277,-0.155,0.970,0.183,0.549,-4.761
-0.275,-0.168,0.963,-0.366,1.343,-4.578
-0.273,-0.175,0.955,-0.549,1.343,-3.662

-0.329,1.215,1.772,283.936,-327.026,56.763
-0.337,1.260,1.798,266.113,-273.071,-24.658
-0.202,1.149,1.730,206.726,-230.774,-112.854
-0.058,0.878,1.590,162.903,-194.214,-184.692
0.104,0.599,1.456,154.602,-155.396,-228.821
0.282,0.382,1.341,167.664,-120.911,-248.901
0.451,0.201,1.242,186.951,-102.905,-258.850
0.611,0.101,1.174,203.003,-101.501,-268.372
